m/z,RT1_center,RT2_center
93.0,2690.56,0.904
217.0,7308.832,1.008
123.0,6043.888,2.144
131.0,9218.512,1.704
228.0,9929.824,1.568
122.0,2543.392,0.912
122.0,2690.56,0.904
232.0,7329.856,1.032
120.0,6040.384,2.144
222.0,6040.384,2.144
63.0,6825.28,1.304
65.0,2543.392,0.912
160.0,6380.272,1.24
153.0,6758.704,1.008
153.0,6040.384,2.128
148.0,6040.384,2.144
65.0,2690.56,0.904
83.0,9200.992,1.048
81.0,9200.992,1.048
77.0,6043.888,2.16
78.0,6040.384,2.144
75.0,6043.888,2.144
74.0,6043.888,2.144
67.0,9200.992,1.048
37.0,7228.24,1.656
114.0,9323.632,0.944
108.0,9933.328,1.56
107.0,6040.384,2.136
63.0,6755.2,1.008
62.0,6047.392,2.16
61.0,6040.384,2.144
56.0,7228.24,1.648
116.0,6825.28,1.304
66.0,6047.392,2.16
139.0,6597.52,1.76
237.0,7224.736,1.32
167.0,6587.008,1.344
92.0,6975.952,1.024
118.0,6933.904,1.168
128.0,6930.4,1.528
187.0,5563.84,1.048
242.0,7315.84,1.192
236.0,7564.624,1.576
217.0,7957.072,1.48
218.0,8279.44,1.872
242.0,7459.504,1.248
242.0,7382.416,1.216
234.0,7981.6,1.832
132.0,6828.784,1.088
201.0,8819.056,2.688
134.0,3076.0,1.176
120.0,3076.0,1.184
119.0,3100.528,1.192
91.0,3076.0,1.184
63.0,3076.0,1.176
39.0,3072.496,1.176
178.0,6720.16,1.992
217.0,7519.072,1.392
231.0,7312.336,1.184
218.0,7343.872,1.416
231.0,7371.904,1.144
145.0,5567.344,1.04
153.0,6471.376,1.328
260.0,7298.32,1.408
177.0,6043.888,2.136
173.0,7659.232,1.12
167.0,6958.432,1.488
186.0,6734.176,1.048
215.0,7294.816,1.08
232.0,8139.28,1.064
167.0,6779.728,1.12
174.0,7876.48,1.256
220.0,5553.328,1.168
218.0,7967.584,1.064
231.0,7487.536,1.032
102.0,3072.496,1.176
77.0,3072.496,1.176
172.0,6744.688,1.056
182.0,6597.52,1.352
65.0,6050.896,2.168
65.0,6947.92,1.56
128.0,6762.208,0.952
92.0,3076.0,1.168
58.0,3076.0,1.168
62.0,3076.0,1.176
454.0,9915.808,1.264
202.0,7683.76,2.48
143.0,6902.368,1.088
129.0,6776.224,1.016
145.0,8118.256,1.2
144.0,8121.76,1.2
153.0,6604.528,1.464
144.0,5560.336,1.088
118.0,3090.016,1.304
232.0,7420.96,1.328
259.0,7392.928,1.352
171.0,6762.208,1.072
144.0,6902.368,1.232
152.0,6576.496,1.328
139.0,6474.88,1.36
63.0,6562.48,1.784
180.0,6572.992,1.288
62.0,6450.352,1.216
62.0,6587.008,1.288
128.0,6436.336,1.08
210.0,6450.352,1.24
178.0,6572.992,1.248
395.0,9001.264,1.184
396.0,9008.272,1.184
38.0,6944.416,1.376
171.0,8090.224,1.2
174.0,6713.152,2.192
129.0,6891.856,1.072
160.0,7981.6,1.112
143.0,8079.712,1.208
160.0,7911.52,1.096
143.0,6940.912,1.016
143.0,6755.2,1.016
181.0,6601.024,1.36
173.0,5220.448,1.056
132.0,6029.872,2.032
144.0,6772.72,1.064
242.0,6870.832,1.24
