m/z,RT1_center,RT2_center
171.0,6587.008,1.08
167.0,7053.04,1.632
160.0,7582.144,1.2
159.0,6142.0,1.056
150.0,7217.728,1.416
185.0,7582.144,1.112
171.0,6643.072,1.064
185.0,7645.216,1.064
144.0,6958.432,1.064
185.0,7690.768,1.056
144.0,7743.328,1.064
185.0,8086.72,1.44
213.0,6779.728,1.08
213.0,6569.488,1.072
213.0,7855.456,1.056
213.0,7382.416,1.056
213.0,6832.288,1.064
213.0,7105.6,1.072
216.0,6149.008,1.048
230.0,6499.408,1.032
216.0,6499.408,1.072
216.0,6373.264,1.056
185.0,6636.064,1.08
185.0,6692.128,1.072
185.0,6804.256,1.056
230.0,6544.96,1.352
242.0,6692.128,1.064
172.0,7957.072,1.144
172.0,8384.56,1.088
185.0,6972.448,1.064
185.0,7922.032,1.048
213.0,7270.288,1.056
185.0,7971.088,1.424
172.0,6681.616,1.064
185.0,6411.808,1.088
172.0,7568.128,1.064
242.0,6762.208,1.064
185.0,7413.952,1.072
144.0,6660.592,1.056
64.0,7536.592,1.24
172.0,6569.488,1.056
185.0,7025.008,1.056
185.0,7193.2,1.064
185.0,7249.264,1.064
185.0,7364.896,1.08
185.0,6583.504,1.072
242.0,7249.264,1.184
128.0,7403.44,1.352
244.0,7010.992,1.04
272.0,7557.616,1.288
242.0,7119.616,1.152
144.0,7308.832,1.144
101.0,7697.776,2.544
242.0,7049.536,1.104
216.0,7953.568,2.232
227.0,7270.288,1.416
216.0,7879.984,2.336
215.0,8107.744,2.352
171.0,7424.464,1.096
172.0,6905.872,1.08
171.0,7557.616,1.112
171.0,8149.792,1.32
171.0,7361.392,1.128
171.0,6940.912,1.432
171.0,7126.624,1.104
171.0,7193.2,1.08
101.0,7533.088,2.4
215.0,7953.568,2.232
172.0,6958.432,1.072
144.0,7484.032,1.088
144.0,7536.592,1.104
184.0,6338.224,1.304
172.0,7463.008,1.176
172.0,7848.448,1.36
171.0,7491.04,1.176
182.0,6481.888,1.288
183.0,6569.488,1.32
228.0,8636.848,2.456
170.0,6092.944,1.536
117.0,5924.752,1.12
229.0,8465.152,2.104
184.0,6699.136,2.232
113.0,9036.304,1.24
229.0,8538.736,2.248
183.0,6622.048,1.688
174.0,7690.768,2.408
198.0,7690.768,2.392
154.0,5630.416,1.64
215.0,8307.472,2.16
199.0,7687.264,2.4
188.0,5819.632,1.08
38.0,4158.736,1.976
82.0,4155.232,1.968
150.0,5633.92,1.624
150.0,7690.768,2.392
144.0,8906.656,1.024
145.0,4572.208,1.12
146.0,4565.2,1.44
174.0,7522.576,2.448
105.0,4176.256,1.072
185.0,7809.904,1.208
128.0,7578.64,1.192
129.0,7848.448,1.2
144.0,7144.144,1.072
167.0,6587.008,1.344
202.0,6944.416,1.688
204.0,6940.912,1.696
150.0,6709.648,2.008
122.0,9050.32,1.168
172.0,6846.304,1.072
185.0,7147.648,1.208
172.0,6793.744,1.064
242.0,6811.264,1.088
185.0,8034.16,1.336
242.0,6632.56,1.064
185.0,6860.32,1.232
185.0,7088.08,1.08
213.0,7000.48,1.064
171.0,6699.136,1.08
171.0,6457.36,1.088
160.0,7764.352,1.144
160.0,7641.712,1.176
145.0,6008.848,1.384
144.0,7603.168,1.16
129.0,7599.664,1.184
129.0,7168.672,1.408
64.0,7603.168,1.2
172.0,7354.384,1.28
172.0,7627.696,1.168
206.0,7477.024,2.032
272.0,7603.168,1.2
171.0,7298.32,1.168
128.0,7165.168,1.408
171.0,7795.888,1.376
171.0,7725.808,1.104
128.0,7291.312,1.456
128.0,7350.88,1.424
172.0,7519.072,1.184
216.0,7186.192,1.024
159.0,6268.144,1.096
145.0,5875.696,1.088
213.0,7322.848,1.088
216.0,6446.848,1.08
185.0,7301.824,1.096
185.0,6923.392,1.072
171.0,8023.648,1.272
128.0,7526.08,1.224
129.0,7413.952,1.28
129.0,7708.288,1.152
144.0,7883.488,1.216
185.0,8146.288,1.32
242.0,6982.96,1.096
128.0,7729.312,1.216
129.0,7364.896,1.368
160.0,7519.072,1.232
185.0,7526.08,1.12
178.0,6720.16,1.992
101.0,8346.016,1.472
183.0,6436.336,1.056
64.0,7189.696,1.192
153.0,6692.128,1.56
173.0,6015.856,1.384
172.0,8927.68,1.088
167.0,6418.816,1.36
172.0,8805.04,1.048
185.0,8279.44,1.016
115.0,4144.72,1.224
116.0,4411.024,1.232
129.0,6664.096,1.008
129.0,7981.6,1.016
184.0,8840.08,1.008
104.0,4792.96,1.08
113.0,4544.176,1.672
150.0,6134.992,1.424
143.0,7911.52,1.024
143.0,8016.64,1.008
143.0,8216.368,1.016
65.0,4179.76,1.736
143.0,8317.984,1.016
143.0,8367.04,1.032
143.0,8486.176,1.016
143.0,8615.824,1.016
54.0,4544.176,1.672
39.0,4179.76,1.736
39.0,4544.176,1.672
54.0,4179.76,1.736
141.0,6597.52,1.592
143.0,6551.968,1.024
143.0,6688.624,1.024
143.0,7368.4,1.008
67.0,4179.76,1.736
67.0,4544.176,1.68
82.0,4544.176,1.672
218.0,6506.416,1.008
215.0,8784.016,1.408
213.0,8381.056,1.04
206.0,6891.856,1.624
188.0,5223.952,1.048
145.0,5318.56,1.064
185.0,8619.328,1.016
185.0,8559.76,1.016
185.0,8360.032,1.016
185.0,8482.672,1.016
370.0,9306.112,1.712
168.0,6530.944,1.576
174.0,4796.464,1.08
173.0,9190.48,1.024
173.0,9095.872,1.008
172.0,8433.616,1.04
150.0,8156.8,1.288
171.0,8528.224,1.016
172.0,8310.976,1.016
150.0,8573.776,1.512
153.0,6825.28,1.352
168.0,6127.984,1.592
143.0,6821.776,1.016
168.0,8833.072,1.08
150.0,7263.28,1.472
150.0,8384.56,1.192
199.0,8770.0,2.232
229.0,8815.552,1.576
146.0,4407.52,1.224
146.0,4179.76,1.744
146.0,4151.728,1.24
145.0,8566.768,1.008
171.0,8608.816,1.032
145.0,8524.72,1.016
145.0,8458.144,1.024
145.0,8230.384,1.008
53.0,4179.76,1.744
145.0,4484.608,1.144
145.0,4354.96,1.128
144.0,9060.832,1.048
144.0,8962.72,1.016
144.0,8451.136,1.016
144.0,8360.032,1.048
144.0,8254.912,1.008
290.0,8826.064,1.296
306.0,8766.496,1.168
369.0,9337.648,1.712
150.0,6604.528,1.592
229.0,7025.008,1.488
144.0,7025.008,1.064
232.0,8317.984,2.072
56.0,9025.792,1.12
204.0,7708.288,2.248
153.0,6124.48,1.576
167.0,6912.88,1.384
229.0,8405.584,2.096
213.0,8027.152,2.24
242.0,8871.616,2.008
217.0,8034.16,2.256
215.0,8027.152,2.248
153.0,6471.376,1.328
182.0,6597.52,1.352
171.0,7613.68,1.16
185.0,7470.016,1.192
230.0,6625.552,1.224
144.0,6296.176,1.312
172.0,8268.928,1.344
154.0,6608.032,1.464
144.0,8034.16,1.032
172.0,8997.76,1.08
172.0,9060.832,1.08
172.0,9120.4,1.072
64.0,7130.128,1.136
172.0,8566.768,1.096
229.0,8766.496,1.288
